 contours_points,amount_contours,contour_length_area_ratio,contour_length_rect_area_ratio,contour_length_hull_area_ratio,contour_rect_length_ratio,contour_hull_length_ratio,extent,solidity,aspect_ratio,hull_rectangle_ratio,corners,harris_corners,type 
 1274,7,0.020656025,0.020203991,0.020203991,1.288004411,1.288004411,0.978116109,0.978116109,1,1,100,585,0 
 1308,4,0.050397183,0.038544629,0.039946161,1.749838567,1.780137938,0.764817133,0.792626861,0.552941176,0.964914476,91,210,0 
 1569,1,0.02873336,0.024848999,0.024848999,1.584123657,1.584123657,0.864813533,0.864813533,1,1,39,176,0 
 829,2,0.031058044,0.022483677,0.026138762,1.05726133,1.110212735,0.723924435,0.841610061,0.584313676,0.86016609,48,158,0 
 1560,1,0.029103509,0.024818881,0.024818881,1.582203686,1.582203686,0.8527797,0.8527797,1,1,49,139,0 
 655,8,0.071255985,0.037754137,0.055285972,1.238975762,1.525557847,0.529838125,0.7758783,0.495453549,0.682888186,57,835,0 
 1571,1,0.029373584,0.024854276,0.024854276,1.584460074,1.584460074,0.846143791,0.846143791,1,1,45,139,0 
 850,6,0.033397795,0.029487519,0.031382009,1.189382476,1.221693482,0.882918133,0.939643129,2.16101697,0.939631341,51,262,0 
 1570,1,0.030046933,0.024845267,0.024851955,1.583885774,1.589179415,0.826881968,0.827104565,1,0.999730873,51,118,0 
 391,2,0.04340139,0.034831417,0.041664745,0.936722133,1.087389452,0.80254151,0.95998642,1.660303096,0.835992565,38,92,0 
 379,2,0.04260997,0.035346907,0.040806623,0.926766849,1.068492773,0.829545455,0.957677808,0.659090909,0.866205155,34,33,0 
 1479,2,0.028051633,0.023554096,0.023554096,1.501573646,1.501573646,0.839669358,0.839669358,1,1,100,202,0 
 1658,1,0.033771148,0.027510833,0.027737332,1.753815384,1.780550169,0.814625339,0.821332217,1,0.991834147,55,194,0 
 1529,1,0.029295098,0.024998258,0.02501557,1.593638975,1.596700222,0.853325644,0.85391659,1,0.999307958,48,181,0 
 1411,1,0.026580007,0.023145351,0.023145351,1.47551615,1.47551615,0.870780469,0.870780469,1,1,41,171,0 
 1620,1,0.031512187,0.026646153,0.026665837,1.698692238,1.704824507,0.845582468,0.846207119,1,0.999261822,48,234,0 
